window,max_psi,mean_psi,num_severe,top_group,top_group_share,attribution_entropy,perf_drop,baseline_auc,window_auc
0,1.3971703025267004,0.2523334337176716,8,behavioral,0.9999446447124561,0.0005979318015411053,-0.01372417725558317,0.48627582274441683,0.5
1,0.0019198252581541,0.0007381981281158501,0,monetary,0.8061367771180818,0.5525970961838776,-0.01372417725558317,0.48627582274441683,0.5
2,0.0022013128803269,0.0011014353276280124,0,monetary,0.639842826788179,0.7356461286167821,-0.01372417725558317,0.48627582274441683,0.5
3,0.0016158037256879,0.0009805310757085624,0,monetary,0.544379865933197,0.8608871477398431,-0.01372417725558317,0.48627582274441683,0.5
4,0.0021742029296424,0.0008609837969372249,0,monetary,0.7823891497086156,0.561439401129127,-0.01372417725558317,0.48627582274441683,0.5
5,0.0029128987272453,0.0010214158475335626,0,identity,0.48951520464531884,0.7980742151846081,-0.01372417725558317,0.48627582274441683,0.5
6,0.0027907985751539,0.001352455942597525,0,monetary,0.9038591544886629,0.3680029235915407,-0.01372417725558317,0.48627582274441683,0.5
7,0.0017678110642318,0.0009488219258423376,0,identity,0.5090632959559966,0.7786031332621418,-0.01372417725558317,0.48627582274441683,0.5
8,0.0036950848907129,0.001035056028303125,0,identity,0.49490796531395315,0.7595020565429225,-0.01372417725558317,0.48627582274441683,0.5
9,0.0025194466060679,0.0011350288576066,0,monetary,0.6006478633578886,0.7644136943557254,-0.01372417725558317,0.48627582274441683,0.5
10,0.0013001077266219,0.0005301442024147,0,monetary,0.810764743189232,0.5852154175083737,-0.01372417725558317,0.48627582274441683,0.5
11,0.0030456149585226,0.0009568767795404625,0,monetary,0.8946937974603926,0.3637093430439124,-0.01372417725558317,0.48627582274441683,0.5
12,0.0025789713628427,0.0013371557445669,0,monetary,0.8326587648927383,0.5140407081329581,-0.01372417725558317,0.48627582274441683,0.5
13,0.0025997199396552,0.0010422163465497625,0,monetary,0.9472992813683306,0.22594220292821837,-0.01372417725558317,0.48627582274441683,0.5
14,0.0028247738729109,0.0010538869122063998,0,monetary,0.7404690488503063,0.62848841092525,-0.01372417725558317,0.48627582274441683,0.5
15,0.0026711277352122,0.0012439338772209999,0,monetary,0.8480491920380648,0.4951341516155209,-0.01372417725558317,0.48627582274441683,0.5
16,0.001528033040584,0.000955842945760325,0,monetary,0.6538298970699111,0.7330145042827596,-0.01372417725558317,0.48627582274441683,0.5
17,0.0021956117150558,0.0011943353413293874,0,monetary,0.5900172804533237,0.8231050171126154,-0.01372417725558317,0.48627582274441683,0.5
18,0.0017634897112831,0.001069341825489275,0,monetary,0.5878809931525951,0.8421952788660791,-0.01372417725558317,0.48627582274441683,0.5
19,0.0020495621391484,0.0009455844038348,0,monetary,0.8301594110756585,0.5090454406042252,-0.01372417725558317,0.48627582274441683,0.5
