group,impact,normalized_impact,window
monetary,0.007967775738804347,0.2714174417448687,0
temporal,0.008956598483625747,0.3051010880392155,0
identity,0.004141495371011629,0.14107752470037163,0
behavioral,1.0832526926549886e-05,0.0003690034512037829,0
device,0.008279464851001329,0.2820349420643404,0
monetary,0.025706853658720684,0.4004193026252703,1
temporal,0.015573077583678867,0.24257192064694888,1
identity,0.009207652595156976,0.14342174580815653,1
behavioral,1.3285944667040423e-05,0.0002069467064667223,1
device,0.013698966464877317,0.21338008421315766,1
monetary,0.038930715289631795,0.42497450441662415,2
temporal,0.023116544092513125,0.25234424275161377,2
identity,0.010519447098094315,0.11483212635551368,2
behavioral,1.5434740846770688e-05,0.00016848833352677497,2
device,0.019025037292065526,0.2076806381427216,2
monetary,0.010219650374560513,0.2957753429209483,3
temporal,0.011721512939747712,0.33924198795844857,3
identity,0.0030146197055115616,0.08724859897296387,3
behavioral,5.8527978502025477e-05,0.0016939065699349744,3
device,0.009537759074983495,0.27604016357770417,3
monetary,0.011621887473294021,0.29991015013119365,4
temporal,0.015229559317290395,0.393008401757129,4
identity,0.0018965668720616103,0.04894210657613858,4
behavioral,6.022172291888478e-05,0.001554059614091477,4
device,0.00994299550211964,0.2565852819214474,4
monetary,0.012646783912537759,0.3044932234751017,5
temporal,0.01635027469468035,0.39366117749121776,5
identity,0.002313001052133691,0.05568950581714832,5
behavioral,2.819731764676967e-05,0.0006788992524102821,5
device,0.010195619436418168,0.24547719396412193,5
monetary,0.01406591979645783,0.3131844679231145,6
temporal,0.017341098691831678,0.3861079009117613,6
identity,0.003534209593524068,0.07869087603893053,6
behavioral,1.1937866745116764e-05,0.0002658023434520047,6
device,0.009959405513672812,0.22175095278274173,6
monetary,0.012687882008187427,0.2893301422401788,7
temporal,0.01818770363008658,0.41474620231489084,7
identity,0.0023636392755187036,0.053899625433858886,7
behavioral,2.325763151021827e-05,0.0005303591118422159,7
device,0.01059012786697468,0.24149367089922916,7
monetary,0.01714227553237785,0.3270695206221059,8
temporal,0.02076831766959607,0.3962533265488919,8
identity,0.002021796027995137,0.03857526711801262,8
behavioral,5.752358807640951e-05,0.001097532958274938,8
device,0.012421805338303091,0.23700435275271464,8
monetary,0.010058016518798327,0.2521182006185164,9
temporal,0.015577821177088298,0.3904797966263184,9
identity,0.0036357752062503293,0.09113577226086758,9
behavioral,3.9159426596906436e-05,0.0009815855991499674,9
device,0.010583279326891157,0.2652846448951476,9
monetary,0.012858280699933698,0.2500718506886119,10
temporal,0.022560616130542277,0.4387658941423754,10
identity,0.004003498520709441,0.07786128703101748,10
behavioral,4.5499760428517056e-05,0.0008848935220636768,10
device,0.011950449914131332,0.23241607461593172,10
monetary,0.0172853309452344,0.3130523543063018,11
temporal,0.019365153369376904,0.3507197445622204,11
identity,0.006593713845712381,0.11941788384395487,11
behavioral,5.9439922285411926e-05,0.001076508611272035,11
device,0.011911825744638801,0.21573350867625088,11
monetary,0.014055675949795014,0.27736921789243496,12
temporal,0.023496923366550404,0.4636791058884374,12
identity,0.0013265344021336477,0.026177311638476173,12
behavioral,0.00011061933619984525,0.002182918763574573,12
device,0.011685213895856566,0.23059144581707697,12
monetary,0.013436701712197784,0.31314301647028997,13
temporal,0.015833115961209492,0.36899157236750707,13
identity,0.0025959740820702443,0.06049930795146036,13
behavioral,0.00012022412331529911,0.002801829305570784,13
device,0.010923137464796484,0.2545642739051717,13
monetary,0.013853537812492562,0.25895427958828976,14
temporal,0.023280731993972528,0.43517008170655264,14
identity,0.0045542688239455795,0.08512969165845473,14
behavioral,0.000137420115620578,0.002568695991097427,14
device,0.01167204806242251,0.2181772510556056,14
monetary,0.014750022673518718,0.24074375747047896,15
temporal,0.02457920818333661,0.40117165001577526,15
identity,0.008023954172495929,0.13096365476954033,15
behavioral,0.00010075777341643356,0.0016445266223339796,15
device,0.01381461439056859,0.22547641112187153,15
monetary,0.015137861820974789,0.3062072896505322,16
temporal,0.018889844472530413,0.3821020528697861,16
identity,0.0017263753250232978,0.03492096277840777,16
behavioral,0.00025451939290714067,0.005148395089563305,16
device,0.013428046425179294,0.27162129961171066,16
monetary,0.014325886086434113,0.41439053610077237,17
temporal,0.0058127438819639485,0.16813941133766838,17
identity,0.0018745189319376826,0.0542223287585874,17
behavioral,8.313981372028816e-05,0.00240490199147215,17
device,0.012474689236440198,0.3608428218114998,17
monetary,0.01535513708624854,0.33790161607749297,18
temporal,0.011549511829305588,0.25415590170949987,18
identity,0.003269726655081847,0.07195285295585334,18
behavioral,0.00011749075722894425,0.002585474588656242,18
device,0.015150760625203739,0.33340415466849754,18
monetary,0.013354020668626192,0.30500779673753,19
temporal,0.014253240024267165,0.3255460991150423,19
identity,0.0027848317758115497,0.06360596746869691,19
behavioral,0.000155307014827004,0.0035472350676794785,19
device,0.013235155623142302,0.3022929016110514,19
monetary,0.015368702441332859,0.3146301088974607,20
temporal,0.017067383758382147,0.3494057374715376,20
identity,0.0036067688814389854,0.07383824953778625,20
behavioral,0.00014957929818185697,0.0030622071743150957,20
device,0.012654456006293408,0.2590636969189004,20
