window,total_impact,behavioral,device,identity,monetary,temporal
0,0.029356166971369602,1.0832526926549886e-05,0.008279464851001329,0.004141495371011629,0.007967775738804347,0.008956598483625747
1,0.06419983624710088,1.3285944667040423e-05,0.013698966464877317,0.009207652595156976,0.025706853658720684,0.015573077583678867
2,0.09160717851315153,1.5434740846770688e-05,0.019025037292065526,0.010519447098094315,0.038930715289631795,0.023116544092513125
3,0.03455207007330531,5.8527978502025477e-05,0.009537759074983495,0.0030146197055115616,0.010219650374560513,0.011721512939747712
4,0.03875123088768455,6.022172291888478e-05,0.00994299550211964,0.0018965668720616103,0.011621887473294021,0.015229559317290395
5,0.041533876413416736,2.819731764676967e-05,0.010195619436418168,0.002313001052133691,0.012646783912537759,0.01635027469468035
6,0.0449125714622315,1.1937866745116764e-05,0.009959405513672812,0.003534209593524068,0.01406591979645783,0.017341098691831678
7,0.04385261041227761,2.325763151021827e-05,0.01059012786697468,0.0023636392755187036,0.012687882008187427,0.01818770363008658
8,0.052411718156348555,5.752358807640951e-05,0.012421805338303091,0.002021796027995137,0.01714227553237785,0.02076831766959607
9,0.03989405165562502,3.9159426596906436e-05,0.010583279326891157,0.0036357752062503293,0.010058016518798327,0.015577821177088298
10,0.051418345025745264,4.5499760428517056e-05,0.011950449914131332,0.004003498520709441,0.012858280699933698,0.022560616130542277
11,0.0552154638272479,5.9439922285411926e-05,0.011911825744638801,0.006593713845712381,0.0172853309452344,0.019365153369376904
12,0.05067496695053548,0.00011061933619984525,0.011685213895856566,0.0013265344021336477,0.014055675949795014,0.023496923366550404
13,0.0429091533435893,0.00012022412331529911,0.010923137464796484,0.0025959740820702443,0.013436701712197784,0.015833115961209492
14,0.053498006808453756,0.000137420115620578,0.01167204806242251,0.0045542688239455795,0.013853537812492562,0.023280731993972528
15,0.06126855719333628,0.00010075777341643356,0.01381461439056859,0.008023954172495929,0.014750022673518718,0.02457920818333661
16,0.04943664743661494,0.00025451939290714067,0.013428046425179294,0.0017263753250232978,0.015137861820974789,0.018889844472530413
17,0.034570977950496226,8.313981372028816e-05,0.012474689236440198,0.0018745189319376826,0.014325886086434113,0.0058127438819639485
18,0.04544262695306866,0.00011749075722894425,0.015150760625203739,0.003269726655081847,0.01535513708624854,0.011549511829305588
19,0.04378255510667421,0.000155307014827004,0.013235155623142302,0.0027848317758115497,0.013354020668626192,0.014253240024267165
20,0.048846890385629255,0.00014957929818185697,0.012654456006293408,0.0036067688814389854,0.015368702441332859,0.017067383758382147
