feature,psi,ks_pvalue,window
V26,0.3912534418451258,3.117221139274325e-150,0
V67,0.38941747710735974,4.070088498160944e-154,0
V66,0.3373559727358549,7.991154017075963e-164,0
id_31,0.33375742035419637,,0
V25,0.3278656334546459,8.383228879690586e-156,0
DeviceInfo,0.2927713762778858,,0
V20,0.11815005470860504,3.776577776679211e-220,0
V19,0.11731290341098415,1.9939713091246506e-228,0
V62,0.11589746031364373,5.84187345674296e-209,0
V302,0.1153048406466613,2.061401913001181e-301,0
V61,0.1141024934323819,7.368236801465507e-216,0
V304,0.11293726550480646,2.166790994825165e-295,0
V303,0.11039414417708437,2.6057629448780155e-289,0
D10,0.10770237646349955,5.504409976762769e-120,0
ProductCD,0.09466164426284247,,0
V12,0.0934220794804628,3.696485959607139e-264,0
id_30,0.09203488812896263,,0
V13,0.0884586555892293,1.6181617561046195e-243,0
id_33,0.08120555786335523,,0
id_35,0.0804130639892748,,0
id_38,0.07966082074298363,,0
id_12,0.07811059201007502,,0
id_36,0.07725681264472434,,0
id_29,0.07595772909114964,,0
id_28,0.07583742516251657,,0
id_15,0.07564421578885348,,0
id_37,0.07543043395348384,,0
id_02,0.07538595587762306,2.7536995818211973e-92,0
DeviceType,0.07531071579092141,,0
V291,0.07425943373226546,1.331907036000538e-152,0
id_16,0.07111807074381642,,0
id_34,0.07055922409584417,,0
V292,0.06655583841978542,4.350256214619617e-82,0
id_20,0.06637472668961815,5.585498429048923e-61,0
C9,0.06618537356343127,1.2447717280576544e-192,0
M6,0.06583260126307763,,0
id_19,0.06284436332632436,4.1684633995861254e-57,0
R_emaildomain,0.060671406571302634,,0
D15,0.05061220320109677,3.2995070371545617e-110,0
V53,0.04933166900848705,2.0591530318213135e-141,0
C10,0.04916043735552509,3.4573301341116735e-213,0
C8,0.04666346307069111,3.5887288394332507e-202,0
V54,0.04639985416502347,1.367733897857404e-129,0
D3,0.046103009735676145,1.5062107912596978e-55,0
D4,0.0436601816220136,2.9000916976760233e-85,0
D1,0.03689847014310006,1.1433675481927243e-106,0
C5,0.03366701915775951,4.828168405858883e-91,0
C13,0.033488649708958484,2.0458663996645205e-53,0
id_14,0.03233115391552028,1.325388857197635e-37,0
card6,0.03079721597974073,,0
V283,0.030788483159436907,2.2072058082814964e-75,0
card2,0.03030394015757666,3.696195017373807e-30,0
C11,0.03010183893668408,4.627299413836362e-32,0
C2,0.028319820338762916,1.7539418018952658e-32,0
P_emaildomain,0.028199546695994077,,0
D2,0.02785134928011557,1.9434737642257555e-43,0
V282,0.027694790800081498,3.2932712006816937e-74,0
C4,0.02379961962106491,8.068123679517542e-105,0
id_13,0.020429964222275054,3.920565111861931e-25,0
V99,0.020006045931828975,1.0057108765883081e-43,0
V96,0.019177216750637743,2.7191198055407337e-50,0
V149,0.018501604678784807,1.6482208874054362e-24,0
V158,0.018501604678784807,1.6482208874054362e-24,0
V156,0.018501604678784807,1.6482208874054362e-24,0
V140,0.018501604678784807,1.6482208874054362e-24,0
V154,0.018501604678784807,1.6482208874054362e-24,0
V148,0.018435967831014553,1.9745833664963757e-24,0
V153,0.018435967831014553,1.9745833664963757e-24,0
V157,0.018435967831014553,1.9745833664963757e-24,0
V139,0.018435967831014553,1.9745833664963757e-24,0
V155,0.018435967831014553,1.9745833664963757e-24,0
C1,0.017862449528673656,5.344324969836315e-32,0
V285,0.017073038626922193,1.2498731158278867e-46,0
M2,0.01700941875948313,,0
M3,0.016993203990854893,,0
M1,0.016987008986530022,,0
card1,0.01677261701498922,4.458747562113689e-06,0
V160,0.01665381877826967,7.339747257914587e-191,0
V150,0.01642191903616608,2.581520704775744e-189,0
V165,0.016029776690747694,6.173306848876345e-184,0
