feature,psi,ks_pvalue
id_31,2.7428747231438217,
M8,0.5908720495550154,
M7,0.5905858390894814,
M9,0.5902236117000851,
id_30,0.5090023627420095,
M1,0.4687052888422332,
M3,0.46833067352526114,
M2,0.467561878663075,
D11,0.46623084411516824,0.0
id_38,0.4099219591548911,
DeviceInfo,0.405749492436258,
D15,0.24056078137189954,1.3347593173608302e-245
D4,0.1987330747308822,1.350860322704494e-256
V11,0.18226155521636245,0.0
V10,0.18135028278509882,0.0
ProductCD,0.1744412060156587,
id_33,0.16027108538641147,
V149,0.15364551274404079,4.527716306646641e-73
V154,0.15364551274404079,4.527716306646641e-73
V156,0.15364551274404079,4.527716306646641e-73
V140,0.15364551274404079,4.527716306646641e-73
V158,0.15364551274404079,4.527716306646641e-73
V148,0.15353061312527858,4.08737832075727e-73
V139,0.15353061312527858,4.08737832075727e-73
V153,0.15353061312527858,4.08737832075727e-73
V157,0.15353061312527858,4.08737832075727e-73
V155,0.15353061312527858,4.08737832075727e-73
id_35,0.13849079106646683,
id_34,0.13598181485215077,
D10,0.12293559379883978,3.463946239941601e-138
id_02,0.0999538714766656,8.022470241967331e-94
C9,0.0924118868563938,1.4146613144092297e-193
D5,0.07475636605792055,2.1580098775516027e-85
card5,0.06537266185475246,4.4201439648601645e-09
R_emaildomain,0.06451563409194835,
C11,0.06422067507870265,4.851164973581312e-11
V48,0.06350239504699963,3.943680227188739e-124
V49,0.06347773792398406,9.911417102631014e-125
id_36,0.0596548787557277,
C10,0.05736285856271714,8.6369157874634e-99
M6,0.05717322774067254,
TransactionAmt,0.056592263315164607,1.1921491143775564e-32
DeviceType,0.05534855824836716,
C8,0.0553219813017703,4.2679399940130605e-98
id_16,0.05512159112000782,
id_15,0.05478129458111478,
id_19,0.05424010104189901,1.387203078227354e-43
id_12,0.05326757335830167,
id_28,0.052039004380564136,
id_37,0.05153984012810386,
id_29,0.05135462045161615,
id_20,0.0489048191596123,5.380726943421278e-40
id_14,0.046800940877469444,9.218392885026203e-25
V91,0.044151511812462824,2.1579424676336196e-99
V90,0.044145584139354,2.619364296642094e-99
V66,0.03889554581898414,2.66663320426043e-34
V130,0.038793519262528886,1.4818945946953006e-80
V4,0.0377508244524574,3.3423555824059806e-31
V99,0.03745146378742778,9.196761323633244e-74
addr2,0.036722788174592895,3.3074498701684064e-06
V67,0.03659507552439677,1.1757845121501577e-30
V5,0.035478618273688985,4.0210992230732048e-28
V303,0.02979711039624117,4.0520543461389695e-51
V304,0.028928122273833838,1.9487286650460878e-49
card6,0.028097039108140397,
V302,0.02788440888965768,2.2923155561588654e-47
P_emaildomain,0.027715235613536574,
V54,0.027523623572533608,4.1054464465635785e-67
V53,0.02605783792376072,3.002796582144802e-65
V96,0.025572689069777495,7.551607045868294e-59
V127,0.024630873213960312,1.0068204915896854e-63
V61,0.02417601915737181,2.7025653533172943e-45
V62,0.023632120164103387,9.869158142615802e-43
C4,0.023155536921633215,1.2574702401936129e-33
id_18,0.02216431464062417,2.905844772125565e-06
D1,0.02177910067392974,6.140549833117702e-28
V13,0.021253793599811922,7.8541942167121395e-53
D2,0.019947115831382846,3.1869619491439204e-24
V12,0.01993512862971948,1.1279492531511105e-50
D3,0.018454112953993313,3.809988995830517e-20
V25,0.01733642603042504,1.3096398725202977e-16
M5,0.016535786237438736,
V69,0.016416242531810177,3.7481735086529627e-38
V131,0.0159475365402243,1.2260847725424821e-20
V70,0.015912812568312673,3.826977341696163e-37
addr1,0.015539479995040682,4.941101441717323e-12
V26,0.015345582425458911,3.138928408512918e-14
V29,0.015265035439527373,1.113041930777614e-35
V30,0.014805937612584181,1.136740057623647e-34
V19,0.014063186418336246,7.576742726947281e-28
V20,0.013210881653986149,2.2325868253309506e-25
M4,0.01299793367861769,
V288,0.012978833556960202,1.1340713731226502e-19
dist2,0.012722478548058722,0.0010976174655936675
V289,0.012572770443362693,4.873347946277848e-20
V100,0.012374765137314567,5.162632727154258e-16
C2,0.012089820782135906,6.514128343094857e-31
V313,0.011941505844966265,3.073371201459999e-20
card4,0.011235461852526014,
V315,0.010844914085637106,1.5682521138903527e-20
card2,0.010743557307735544,2.4304099595921835e-06
D9,0.010536575475028015,5.024424432620024e-07
C13,0.009578684831335995,4.684942598565953e-13
V314,0.009158144831033986,1.6221703659332487e-19
V285,0.008851626623548261,6.781586450869039e-23
V310,0.008830240340323153,5.77423651588991e-27
dist1,0.008625547503572667,4.270527645317251e-12
card1,0.007989537972676255,0.00017696229622445007
V307,0.007851162687340084,2.891795390927376e-25
V283,0.00627691960781297,9.138592587724197e-09
V280,0.005873005652899019,3.2595525673528955e-09
V97,0.005796422017200728,2.076461705522344e-10
C6,0.005622443014748763,2.9219871049346862e-09
V308,0.005574155730830146,9.038202692875505e-12
V287,0.0050698844723312065,3.4925717097007265e-10
V312,0.005029250178663466,6.591857194628202e-14
D8,0.0046600054456806365,5.773961405740948e-17
V128,0.0039288166881739145,2.2586487923583954e-13
id_23,0.0037934438736013884,
V317,0.0037657433636471504,0.00019772446445625536
id_09,0.0036810237061943307,0.41815232307801187
V294,0.0035800962061193465,9.585553824922946e-05
id_27,0.0032486481100712037,
C5,0.0029708889713386463,9.547548901857694e-08
C1,0.0024049077672166994,3.6031078970953286e-05
C14,0.0020918788242050524,0.00022249514734689043
card3,0.001732676317971404,0.005870738458858942
V82,0.0016034962353862281,0.018885765343681752
id_07,0.0015815631946231523,0.9999967305233288
id_26,0.001540841524762435,0.999996697930066
V83,0.0014812945916525596,0.033879892462569616
id_03,0.0010452694095030282,0.964999784595033
V126,0.0010175518206944401,0.19245512543936905
D14,0.0010102627130135293,0.3933582334123431
id_25,0.0010017167826113032,0.9999917980980257
V35,0.0009880802042783576,0.01968973410403176
id_08,0.0009186142104277015,0.9999944099941512
V95,0.0008895010276273128,0.0667753764656287
V292,0.00066917104575899,0.24154434299522265
id_21,0.0004172199273995698,0.9982475440652262
id_01,0.00039183247501176256,2.7670437496033452e-34
V222,0.0003779533843253617,0.9864204368929169
V251,0.0003779533843253617,0.9955066632825772
